Governor,Prompt,Element,Tarot,Colors,Filename
ODRAXTI,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a pouring between two vessels pose. Chibi proportions with geometric crystal-like structure head shape. Hair or archer-like pointed ears incorporating Earth element symbolism. Outfit is unique: deep sage green and bronze solid structured clothing with crystalline details with dodecahedron, merkaba, flower of life patterns. Include subtle accessory like orb of mercy. Emulate construction paper layering style exactly, but make this visually unique based on Governor ODRAXTI's profile: 'He who opens up the east', Aethyr RII, Earth element, Tarot Temperance, Sephirot Chesed, Zodiac Sagittarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,Temperance,"deep sage green, bronze",ODRAXTI_art.png
OMAGRAP,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a howling at the moon pose. Chibi proportions with flowing water-like form head shape. Hair or fish-like scaled patterns incorporating Air element symbolism. Outfit is unique: silvery-blue and deep indigo ethereal flowing robes with geometric patterns with crescent, wave, fractal spiral patterns. Include subtle accessory like orb of mercy. Emulate construction paper layering style exactly, but make this visually unique based on Governor OMAGRAP's profile: 'He of lunar knowledge', Aethyr POP, Air element, Tarot The Moon, Sephirot Chesed, Zodiac Pisces. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Moon,"silvery-blue, deep indigo",OMAGRAP_art.png
ONIZIMP,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a reclining with one hand extended pose. Chibi proportions with geometric crystal-like structure head shape. Hair or bull-like sturdy build incorporating Earth element symbolism. Outfit is unique: bronze and deep earth-brown solid structured clothing with crystalline details with hexagonal lattice, dodecahedron patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor ONIZIMP's profile: 'He who brings labor', Aethyr TOR, Earth element, Tarot The Empress, Sephirot Netzach, Zodiac Taurus. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The Empress,"bronze, deep earth-brown",ONIZIMP_art.png
OPMACAS,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a striding forward with scythe pose. Chibi proportions with geometric crystal-like structure head shape. Hair or sharp angular features incorporating Fire element symbolism. Outfit is unique: obsidian-crimson and molten gold angular armor with flame motifs with Merkaba, Flower of Life, Tetractys patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor OPMACAS's profile: 'He who is from the beginning', Aethyr DEO, Fire element, Tarot Death, Sephirot Geburah, Zodiac Scorpio. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,Death,"obsidian-crimson, molten gold",OPMACAS_art.png
ORANCIR,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a pouring between two vessels pose. Chibi proportions with geometric structure head shape. Hair or archer-like pointed ears incorporating Earth element symbolism. Outfit is unique: deep forest green and amber gold solid structured clothing with crystalline details with merkaba, flower_of_life, dodecahedron patterns. Include subtle accessory like orb of mercy. Emulate construction paper layering style exactly, but make this visually unique based on Governor ORANCIR's profile: 'He who is above and below', Aethyr NIA, Earth element, Tarot Temperance, Sephirot Chesed, Zodiac Sagittarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,Temperance,"deep forest green, amber gold",ORANCIR_art.png
OSIDAIA,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a pouring between two vessels pose. Chibi proportions with geometric crystal-like structure head shape. Hair or archer-like pointed ears incorporating Air element symbolism. Outfit is unique: luminous silver-white and electric blue ethereal flowing robes with geometric patterns with octahedron, merkaba, flower of life patterns. Include subtle accessory like orb of mercy. Emulate construction paper layering style exactly, but make this visually unique based on Governor OSIDAIA's profile: 'He who is the god of truth', Aethyr LIN, Air element, Tarot Temperance, Sephirot Chesed, Zodiac Sagittarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,Temperance,"luminous silver-white, electric blue",OSIDAIA_art.png
OXLOPAR,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a striding forward with scythe pose. Chibi proportions with geometric crystal-like structure head shape. Hair or sharp angular features incorporating Earth element symbolism. Outfit is unique: deep obsidian black and slate gray with emerald green veining solid structured clothing with crystalline details with hexagonal, fractal, sacred mountain patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor OXLOPAR's profile: 'He who has them in his hands', Aethyr BAG, Earth element, Tarot Death, Sephirot Geburah, Zodiac Scorpio. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,Death,"deep obsidian black, slate gray with emerald green veining",OXLOPAR_art.png
PABNIXP,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with arms crossed pose. Chibi proportions with geometric crystal-like structure head shape. Hair or ram-like curved horns incorporating Earth element symbolism. Outfit is unique: deep forest green and bronze solid structured clothing with crystalline details with merkaba, flower_of_life, hexagonal_lattice patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor PABNIXP's profile: 'He who governs', Aethyr BAG, Earth element, Tarot The Emperor, Sephirot Geburah, Zodiac Aries. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The Emperor,"deep forest green, bronze",PABNIXP_art.png
PACASNA,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a crouched with chains pose. Chibi proportions with geometric crystal-like structure head shape. Hair or goat-like horns and beard incorporating Water element symbolism. Outfit is unique: deep obsidian blue and silver-white fluid draped garments with wave patterns with hexagonal, fractal, mobius patterns. Include subtle accessory like cup of understanding. Emulate construction paper layering style exactly, but make this visually unique based on Governor PACASNA's profile: 'She who is unchanged by time', Aethyr ARN, Water element, Tarot The Devil, Sephirot Binah, Zodiac Capricorn. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,The Devil,"deep obsidian blue, silver-white",PACASNA_art.png
PARAOAN,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a dancing in cosmic circle pose. Chibi proportions with geometric crystal-like structure head shape. Hair or wave-like flowing elements incorporating Spirit (All Elements) element symbolism. Outfit is unique: electric blue and silver-white mystical robes with Flower of Life, Merkaba, Vesica Piscis patterns. Include subtle accessory like lunar crescent. Emulate construction paper layering style exactly, but make this visually unique based on Governor PARAOAN's profile: 'He who has eyes', Aethyr LIN, Spirit (All Elements) element, Tarot The World, Sephirot Yesod, Zodiac Aquarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Spirit (All Elements),The World,"electric blue, silver-white",PARAOAN_art.png
PARZIBA,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a kneeling by water pouring pose. Chibi proportions with geometric crystal-like structure head shape. Hair or wave-like flowing elements incorporating Air element symbolism. Outfit is unique: electric blue and silver-white ethereal flowing robes with geometric patterns with stellate, fractal, merkaba patterns. Include subtle accessory like cup of understanding. Emulate construction paper layering style exactly, but make this visually unique based on Governor PARZIBA's profile: 'He who promises', Aethyr CHR, Air element, Tarot The Star, Sephirot Binah, Zodiac Aquarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Star,"electric blue, silver-white",PARZIBA_art.png
PASCOMB,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a pouring between two vessels pose. Chibi proportions with geometric structure head shape. Hair or archer-like pointed ears incorporating Water element symbolism. Outfit is unique: azure_sapphire and pearl_white fluid draped garments with wave patterns with fractal_wave, merkaba_intersection patterns. Include subtle accessory like orb of mercy. Emulate construction paper layering style exactly, but make this visually unique based on Governor PASCOMB's profile: 'He who precedes understanding', Aethyr LIL, Water element, Tarot Temperance, Sephirot Chesed, Zodiac Sagittarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,Temperance,"azure_sapphire, pearl_white",PASCOMB_art.png
POCISNI,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a pouring between two vessels pose. Chibi proportions with geometric structure head shape. Hair or archer-like pointed ears incorporating Earth element symbolism. Outfit is unique: deep forest green and bronze-gold solid structured clothing with crystalline details with hexagonal, merkaba, flower_of_life patterns. Include subtle accessory like orb of mercy. Emulate construction paper layering style exactly, but make this visually unique based on Governor POCISNI's profile: 'He who visits those in Heaven', Aethyr BAG, Earth element, Tarot Temperance, Sephirot Chesed, Zodiac Sagittarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,Temperance,"deep forest green, bronze-gold",POCISNI_art.png
PONODOL,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a kneeling by water pouring pose. Chibi proportions with geometric crystal-like structure head shape. Hair or wave-like flowing elements incorporating Fire element symbolism. Outfit is unique: electric blue and plasma white angular armor with flame motifs with Merkaba, Flower of Life, Fractal hexagonal patterns. Include subtle accessory like cup of understanding. Emulate construction paper layering style exactly, but make this visually unique based on Governor PONODOL's profile: 'He who destroys and creates', Aethyr ICH, Fire element, Tarot The Star, Sephirot Binah, Zodiac Aquarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,The Star,"electric blue, plasma white",PONODOL_art.png
POPHAND,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a arms open in welcoming gesture pose. Chibi proportions with geometric structure head shape. Hair or twin-like symmetrical features incorporating Earth element symbolism. Outfit is unique: deep forest green and burnished gold solid structured clothing with crystalline details with Flower of Life, Merkaba, Oak leaf fractal patterns. Include subtle accessory like geometric emblem. Emulate construction paper layering style exactly, but make this visually unique based on Governor POPHAND's profile: 'He who is divided into three parts', Aethyr DES, Earth element, Tarot The Lovers, Sephirot Daath, Zodiac Gemini. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The Lovers,"deep forest green, burnished gold",POPHAND_art.png
POTHNIR,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a holding scales in one hand pose. Chibi proportions with geometric structure head shape. Hair or balanced symmetrical design incorporating Water element symbolism. Outfit is unique: deep_aquamarine and silver_moonlight fluid draped garments with wave patterns with vesica_piscis, merkaba_star, flower_of_life patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor POTHNIR's profile: 'Son of the three fold throne', Aethyr PAZ, Water element, Tarot Justice, Sephirot Netzach, Zodiac Libra. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,Justice,"deep_aquamarine, silver_moonlight",POTHNIR_art.png
PRISTAC,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a pouring between two vessels pose. Chibi proportions with geometric crystal-like structure head shape. Hair or archer-like pointed ears incorporating Fire element symbolism. Outfit is unique: amber-gold and deep crimson angular armor with flame motifs with tetrahedron, stellated octahedron patterns. Include subtle accessory like orb of mercy. Emulate construction paper layering style exactly, but make this visually unique based on Governor PRISTAC's profile: 'He who has the likeness of a Holy One', Aethyr ZID, Fire element, Tarot Temperance, Sephirot Chesed, Zodiac Sagittarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,Temperance,"amber-gold, deep crimson",PRISTAC_art.png
RANGLAM,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with lantern raised pose. Chibi proportions with geometric crystal-like structure head shape. Hair or precise geometric hair ornaments incorporating Earth element symbolism. Outfit is unique: slate gray and deep moss green solid structured clothing with crystalline details with hexagonal, fractal, merkaba patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor RANGLAM's profile: 'He who governs his thoughts', Aethyr VTI, Earth element, Tarot The Hermit, Sephirot Hod, Zodiac Virgo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The Hermit,"slate gray, deep moss green",RANGLAM_art.png
RONOOMB,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a reclining with one hand extended pose. Chibi proportions with geometric crystal-like structure head shape. Hair or bull-like sturdy build incorporating Earth element symbolism. Outfit is unique: deep emerald green and bronze solid structured clothing with crystalline details with dodecahedron, fractal matrix, spiral patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor RONOOMB's profile: 'He who protects the process of becoming', Aethyr TOR, Earth element, Tarot The Empress, Sephirot Netzach, Zodiac Taurus. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The Empress,"deep emerald green, bronze",RONOOMB_art.png
SAMAPHA,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a hands gently holding pose. Chibi proportions with geometric structure head shape. Hair or mane-like flowing hair incorporating Water element symbolism. Outfit is unique: golden_amber and deep_oceanic_blue fluid draped garments with wave patterns with Vesica_Piscis, Fibonacci_spiral patterns. Include subtle accessory like solar medallion. Emulate construction paper layering style exactly, but make this visually unique based on Governor SAMAPHA's profile: 'He who is with continuity', Aethyr ZOM, Water element, Tarot Strength, Sephirot Tiphareth, Zodiac Leo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,Strength,"golden_amber, deep_oceanic_blue",SAMAPHA_art.png
SAXTOMP,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with lantern raised pose. Chibi proportions with geometric crystal-like structure head shape. Hair or precise geometric hair ornaments incorporating Fire element symbolism. Outfit is unique: amber-gold and deep indigo angular armor with flame motifs with hexagonal, merkaba, flower of life patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor SAXTOMP's profile: 'She whose name means understanding', Aethyr MAZ, Fire element, Tarot The Hermit, Sephirot Hod, Zodiac Virgo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,The Hermit,"amber-gold, deep indigo",SAXTOMP_art.png
SAZIAMI,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with arms crossed pose. Chibi proportions with geometric crystal-like structure head shape. Hair or ram-like curved horns incorporating Earth element symbolism. Outfit is unique: deep iron-red and obsidian black solid structured clothing with crystalline details with octahedron, hexagram, tetrahedron patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor SAZIAMI's profile: 'He who has true power', Aethyr ZAA, Earth element, Tarot The Emperor, Sephirot Geburah, Zodiac Aries. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The Emperor,"deep iron-red, obsidian black",SAZIAMI_art.png
SIGMORF,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with arms crossed pose. Chibi proportions with geometric crystal-like structure head shape. Hair or ram-like curved horns incorporating Air element symbolism. Outfit is unique: electric blue and silver-white ethereal flowing robes with geometric patterns with tetrahedron, octahedron, stellated polyhedron patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor SIGMORF's profile: 'He who visits the darkness', Aethyr TAN, Air element, Tarot The Emperor, Sephirot Geburah, Zodiac Aries. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Emperor,"electric blue, silver-white",SIGMORF_art.png
SOAGEEL,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a reclining with one hand extended pose. Chibi proportions with geometric crystal-like structure head shape. Hair or bull-like sturdy build incorporating Earth element symbolism. Outfit is unique: deep emerald green and bronze solid structured clothing with crystalline details with Flower of Life, Platonic solids, Merkaba patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor SOAGEEL's profile: 'He who helps the most', Aethyr NIA, Earth element, Tarot The Empress, Sephirot Netzach, Zodiac Taurus. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The Empress,"deep emerald green, bronze",SOAGEEL_art.png
SOCHIAL,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a kneeling by water pouring pose. Chibi proportions with geometric crystal-like structure head shape. Hair or wave-like flowing elements incorporating Air element symbolism. Outfit is unique: electric blue and silver-white ethereal flowing robes with geometric patterns with fractal tetrahedron, merkaba star, flower of life patterns. Include subtle accessory like cup of understanding. Emulate construction paper layering style exactly, but make this visually unique based on Governor SOCHIAL's profile: 'He who burns up the past', Aethyr LEA, Air element, Tarot The Star, Sephirot Binah, Zodiac Aquarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Star,"electric blue, silver-white",SOCHIAL_art.png
TABITOM,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a pouring between two vessels pose. Chibi proportions with geometric crystal-like structure head shape. Hair or archer-like pointed ears incorporating Spirit element symbolism. Outfit is unique: saffron-gold and deep indigo mystical robes with hexagonal, merkaba, flower of life patterns. Include subtle accessory like orb of mercy. Emulate construction paper layering style exactly, but make this visually unique based on Governor TABITOM's profile: 'He who is like fire', Aethyr ZAX, Spirit element, Tarot Temperance, Sephirot Chesed, Zodiac Sagittarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Spirit,Temperance,"saffron-gold, deep indigo",TABITOM_art.png
TAHAMDO,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with arms crossed pose. Chibi proportions with geometric crystal-like structure head shape. Hair or ram-like curved horns incorporating Air element symbolism. Outfit is unique: electric blue and silver-white ethereal flowing robes with geometric patterns with tetrahedron, merkaba, flower of life patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor TAHAMDO's profile: 'He who lives according to his name', Aethyr OXO, Air element, Tarot The Emperor, Sephirot Geburah, Zodiac Aries. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Emperor,"electric blue, silver-white",TAHAMDO_art.png
TAOAGLA,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with arms crossed pose. Chibi proportions with geometric structure head shape. Hair or ram-like curved horns incorporating Water element symbolism. Outfit is unique: azure_electric_blue and phosphorescent_silver fluid draped garments with wave patterns with fractal_wave, merkaba_tetrahedron, flower_of_life patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor TAOAGLA's profile: 'He who becomes the foremost beginning', Aethyr TEX, Water element, Tarot The Emperor, Sephirot Geburah, Zodiac Aries. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,The Emperor,"azure_electric_blue, phosphorescent_silver",TAOAGLA_art.png
TAPAMAL,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a striding forward with scythe pose. Chibi proportions with geometric crystal-like structure head shape. Hair or sharp angular features incorporating Fire element symbolism. Outfit is unique: obsidian-crimson and electric azure angular armor with flame motifs with Merkaba, Flower of Life, Vesica Piscis patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor TAPAMAL's profile: 'She who is like she was at the beginning', Aethyr LOE, Fire element, Tarot Death, Sephirot Geburah, Zodiac Scorpio. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,Death,"obsidian-crimson, electric azure",TAPAMAL_art.png
TASTOZO,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a hands gently holding pose. Chibi proportions with geometric crystal-like structure head shape. Hair or mane-like flowing hair incorporating Air element symbolism. Outfit is unique: luminous silver and electric blue ethereal flowing robes with geometric patterns with octahedron, merkaba, flower of life patterns. Include subtle accessory like solar medallion. Emulate construction paper layering style exactly, but make this visually unique based on Governor TASTOZO's profile: 'She who initiates dancing', Aethyr OXO, Air element, Tarot Strength, Sephirot Tiphareth, Zodiac Leo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,Strength,"luminous silver, electric blue",TASTOZO_art.png
TEDOOND,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with arms crossed pose. Chibi proportions with geometric crystal-like structure head shape. Hair or ram-like curved horns incorporating Fire element symbolism. Outfit is unique: flame-crimson and burnished gold angular armor with flame motifs with tetrahedron, merkaba, flower_of_life patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor TEDOOND's profile: 'He who demands obedience', Aethyr VTA, Fire element, Tarot The Emperor, Sephirot Geburah, Zodiac Aries. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,The Emperor,"flame-crimson, burnished gold",TEDOOND_art.png
THOTANP,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a hands gently holding pose. Chibi proportions with geometric structure head shape. Hair or mane-like flowing hair incorporating Water element symbolism. Outfit is unique: pearl_white and azure_blue fluid draped garments with wave patterns with dodecahedron, wave_spiral patterns. Include subtle accessory like solar medallion. Emulate construction paper layering style exactly, but make this visually unique based on Governor THOTANP's profile: 'She whose visits brings victory', Aethyr PAZ, Water element, Tarot Strength, Sephirot Tiphareth, Zodiac Leo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,Strength,"pearl_white, azure_blue",THOTANP_art.png
TIARPAX,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a holding scales in one hand pose. Chibi proportions with geometric crystal-like structure head shape. Hair or balanced symmetrical design incorporating Water element symbolism. Outfit is unique: aquamarine and silver fluid draped garments with wave patterns with dodecahedron, vesica_piscis patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor TIARPAX's profile: 'He whose name means truth', Aethyr LIT, Water element, Tarot Justice, Sephirot Netzach, Zodiac Libra. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,Justice,"aquamarine, silver",TIARPAX_art.png
TOANTOM,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a one arm raised, one pointing down pose. Chibi proportions with geometric crystal-like structure head shape. Hair or twin-like symmetrical features incorporating Air element symbolism. Outfit is unique: mercurial silver and electric blue ethereal flowing robes with geometric patterns with fractal, sacred geometry, platonic solids patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor TOANTOM's profile: 'He who loves knowledge', Aethyr ASP, Air element, Tarot The Magician, Sephirot Hod, Zodiac Gemini. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Magician,"mercurial silver, electric blue",TOANTOM_art.png
TOCARZI,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a holding scales in one hand pose. Chibi proportions with geometric crystal-like structure head shape. Hair or balanced symmetrical design incorporating Air element symbolism. Outfit is unique: pale luminous silver and soft pearl white ethereal flowing robes with geometric patterns with hexagonal, dodecahedron, vesica_piscis patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor TOCARZI's profile: 'He of such equality', Aethyr TAN, Air element, Tarot Justice, Sephirot Netzach, Zodiac Libra. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,Justice,"pale luminous silver, soft pearl white",TOCARZI_art.png
TODNAON,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a crouched with chains pose. Chibi proportions with geometric crystal-like structure head shape. Hair or goat-like horns and beard incorporating Fire element symbolism. Outfit is unique: obsidian-crimson and electric blue angular armor with flame motifs with fractal hexagram, merkaba, flower of life patterns. Include subtle accessory like cup of understanding. Emulate construction paper layering style exactly, but make this visually unique based on Governor TODNAON's profile: 'He who is and will be', Aethyr ZID, Fire element, Tarot The Devil, Sephirot Binah, Zodiac Capricorn. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,The Devil,"obsidian-crimson, electric blue",TODNAON_art.png
TORZOXI,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with both hands raised in blessing pose. Chibi proportions with geometric crystal-like structure head shape. Hair or bull-like sturdy build incorporating Air element symbolism. Outfit is unique: silver-white and electric blue ethereal flowing robes with geometric patterns with octahedron, merkaba, flower of life patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor TORZOXI's profile: 'She who rises up in strength', Aethyr POP, Air element, Tarot The Hierophant, Sephirot Netzach, Zodiac Taurus. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Hierophant,"silver-white, electric blue",TORZOXI_art.png
TOTOCAN,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with lantern raised pose. Chibi proportions with geometric crystal-like structure head shape. Hair or precise geometric hair ornaments incorporating Air element symbolism. Outfit is unique: silver-mercury and pale azure ethereal flowing robes with geometric patterns with octahedron, fractal spiral, merkaba patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor TOTOCAN's profile: 'He who drives the cycles', Aethyr CHR, Air element, Tarot The Hermit, Sephirot Hod, Zodiac Virgo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Hermit,"silver-mercury, pale azure",TOTOCAN_art.png
USNARDA,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a kneeling by water pouring pose. Chibi proportions with geometric structure head shape. Hair or wave-like flowing elements incorporating Water element symbolism. Outfit is unique: deep_indigo and silver_blue fluid draped garments with wave patterns with fractal_wave, dodecahedron, merkaba patterns. Include subtle accessory like cup of understanding. Emulate construction paper layering style exactly, but make this visually unique based on Governor USNARDA's profile: 'He who casts down into the depths', Aethyr ICH, Water element, Tarot The Star, Sephirot Binah, Zodiac Aquarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,The Star,"deep_indigo, silver_blue",USNARDA_art.png
